,mac,rssi,timestamp,name,seq,scanner_ip
14621,40:e0:82:56:b4:ca,-71,1741727842868,Unknown,39611,10.26.2.166
14622,57:9a:5b:84:96:c1,-66,1741727842425,Unknown,38130,10.26.2.131
14623,53:18:3d:ff:31:f6,-69,1741727842578,Unknown,38126,10.26.2.196
14624,80:c3:ba:12:24:13,-61,1741727842992,SW02,38252,10.26.2.133
14625,4c:13:81:7b:36:5e,-86,1741727843010,Unknown,38253,10.26.2.133
14626,53:18:3d:ff:31:f6,-63,1741727842517,Unknown,38131,10.26.2.131
14627,53:18:3d:ff:31:f6,-69,1741727842578,Unknown,38126,10.26.2.196
14628,80:c3:ba:12:24:13,-61,1741727842992,SW02,38252,10.26.2.133
14629,44:5e:cd:0f:db:41,-67,1741727842977,Razer Stereo,39612,10.26.2.166
14630,28:62:7f:db:04:6c,-88,1741727843096,Unknown,38254,10.26.2.133
14631,40:e0:82:56:b4:ca,-69,1741727843058,Unknown,39613,10.26.2.166
14632,63:72:28:10:a0:c4,-75,1741727843000,Unknown,39068,10.26.2.134
14633,12:8c:1b:8b:d2:fb,-81,1741727843060,Unknown,39614,10.26.2.166
14634,63:72:28:10:a0:c4,-61,1741727842632,Unknown,38132,10.26.2.131
14635,40:e0:82:56:b4:ca,-61,1741727842634,Unknown,38133,10.26.2.131
14636,63:72:28:10:a0:c4,-75,1741727843107,Unknown,38255,10.26.2.133
14637,57:58:9d:76:05:c3,-61,1741727842648,Unknown,38134,10.26.2.131
14638,57:58:9d:76:05:c3,-70,1741727843063,Unknown,39615,10.26.2.166
14639,63:72:28:10:a0:c4,-72,1741727842690,Unknown,38127,10.26.2.196
14640,57:58:9d:76:05:c3,-77,1741727842704,Unknown,38128,10.26.2.196
14641,57:58:9d:76:05:c3,-54,1741727843005,Unknown,39069,10.26.2.134
14642,41:88:49:13:56:ce,-68,1741727843075,Unknown,39616,10.26.2.166
14643,57:58:9d:76:05:c3,-61,1741727842648,Unknown,38134,10.26.2.131
14644,63:72:28:10:a0:c4,-72,1741727842690,Unknown,38127,10.26.2.196
14645,57:58:9d:76:05:c3,-70,1741727843063,Unknown,39615,10.26.2.166
14646,57:58:9d:76:05:c3,-77,1741727842704,Unknown,38128,10.26.2.196
14647,57:58:9d:76:05:c3,-54,1741727843005,Unknown,39069,10.26.2.134
14648,41:88:49:13:56:ce,-68,1741727843075,Unknown,39616,10.26.2.166
14649,25:d8:d8:b7:ac:b5,-93,1741727843077,Unknown,39617,10.26.2.166
14650,79:9b:16:0b:1e:30,-59,1741727843180,Unknown,38256,10.26.2.133
14651,80:c3:ba:12:24:13,-78,1741727843090,Unknown,39070,10.26.2.134
14652,39:ed:c3:aa:06:c4,-83,1741727843093,Unknown,39071,10.26.2.134
14653,40:bb:ce:a2:7b:fe,-88,1741727843095,3d0dc6dc,39072,10.26.2.134
14654,80:c3:ba:12:24:13,-70,1741727842784,SW02,38129,10.26.2.196
14655,57:9a:5b:84:96:c1,-65,1741727843182,Unknown,38257,10.26.2.133
14656,28:62:7f:db:04:6c,-88,1741727842723,Unknown,38135,10.26.2.131
14657,4e:44:92:b9:90:45,-71,1741727842793,Unknown,38130,10.26.2.196
14658,2d:33:0c:90:44:01,-85,1741727843108,Unknown,39073,10.26.2.134
14659,44:5e:cd:0f:db:41,-55,1741727842802,Razer Stereo,38131,10.26.2.196
14660,80:c3:ba:12:24:13,-70,1741727842784,SW02,38129,10.26.2.196
14661,57:9a:5b:84:96:c1,-65,1741727843182,Unknown,38257,10.26.2.133
14662,28:62:7f:db:04:6c,-88,1741727842723,Unknown,38135,10.26.2.131
14663,4e:44:92:b9:90:45,-71,1741727842793,Unknown,38130,10.26.2.196
14664,2d:33:0c:90:44:01,-85,1741727843108,Unknown,39073,10.26.2.134
14665,44:5e:cd:0f:db:41,-55,1741727842802,Razer Stereo,38131,10.26.2.196
14666,53:18:3d:ff:31:f6,-69,1741727843154,Unknown,39618,10.26.2.166
14667,53:df:41:06:3b:b4,-70,1741727843207,Unknown,38258,10.26.2.133
14668,4e:44:92:b9:90:45,-73,1741727843157,Unknown,39619,10.26.2.166
14669,44:5e:cd:0f:db:41,-64,1741727843110,Razer Stereo,39074,10.26.2.134
14670,1b:19:99:1d:cc:f0,-89,1741727843173,Unknown,39620,10.26.2.166
14671,80:c3:ba:12:24:13,-62,1741727842725,Unknown,38136,10.26.2.131
14672,39:ed:c3:aa:06:c4,-81,1741727842727,Unknown,38137,10.26.2.131
14673,4e:44:92:b9:90:45,-69,1741727842733,Unknown,38138,10.26.2.131
14674,3c:54:fa:51:6d:83,-92,1741727843174,Unknown,39621,10.26.2.166
14675,6b:1e:4f:4d:fa:64,-87,1741727842735,Unknown,38139,10.26.2.131
14676,53:18:3d:ff:31:f6,-71,1741727843210,Unknown,38259,10.26.2.133
14677,4e:44:92:b9:90:45,-80,1741727843211,Unknown,38260,10.26.2.133
14678,2b:46:a3:62:bd:24,-74,1741727842737,Unknown,38140,10.26.2.131
14679,2d:33:0c:90:44:01,-88,1741727842752,Unknown,38141,10.26.2.131
14680,44:5e:cd:0f:db:41,-55,1741727843221,Razer Stereo,38261,10.26.2.133
14681,2a:bd:62:8e:84:bf,-86,1741727843231,Unknown,38262,10.26.2.133
14682,5b:c6:bf:32:be:cc,-69,1741727842890,Unknown,38132,10.26.2.196
14683,80:c3:ba:12:24:13,-70,1741727843248,SW02,39622,10.26.2.166
14684,5b:c6:bf:32:be:cc,-67,1741727843255,Unknown,39623,10.26.2.166
14685,77:bc:a9:66:ff:e2,-54,1741727842905,Unknown,38133,10.26.2.196
14686,80:c3:ba:12:24:13,-70,1741727843301,SW02,38263,10.26.2.133
14687,65:cb:df:35:93:7a,-63,1741727842910,Unknown,38134,10.26.2.196
14688,5b:c6:bf:32:be:cc,-69,1741727842890,Unknown,38132,10.26.2.196
14689,80:c3:ba:12:24:13,-70,1741727843248,SW02,39622,10.26.2.166
